DEPTH_M,VSHALE,PHIE,TEMP_C,PRESSURE_PA,K_MINERAL_PA,MU_MINERAL_PA,RHO_MINERAL_KGM3,K_DRY_PA,MU_DRY_PA,RHO_BRINE_FLUID_KGM3,K_BRINE_FLUID_PA,VP_BRINE_MPS,VS_BRINE_MPS,RHO_BRINE_KGM3,AI_BRINE,VPVS_BRINE,VP_OIL_MPS,VS_OIL_MPS,RHO_OIL_KGM3,VP_GAS_MPS,VS_GAS_MPS,RHO_GAS_KGM3,AI_OIL,VPVS_OIL,AI_GAS,VPVS_GAS
2000.0,0.8485282011725438,0.28045108810188396,68.0,20000000.0,22815232644.55862,10243944439.630148,2590.6030259179215,5784549370.746825,2597238576.7611523,1012.0521156799999,2665254869.045542,2523.885572121904,1099.6367015901671,2147.896705517477,5421045.505463731,2.295199467671598,,,,,,,,,,
2000.1524,0.8452596316841525,0.2797118024846252,68.004572,20001524.000000004,22857675029.10268,10318825638.264061,2590.8318257821093,5828353107.340654,2631140717.343715,1012.0504143902493,2665264460.1191416,2530.843108704731,1106.4474432906843,2149.2280314724712,5439358.952487139,2.2873595343830817,,,,,,,,,,
2000.3048,0.8396937911752785,0.27878293476781907,68.00914399999999,20003048.0,22930063792.37133,10446521085.095963,2591.2214346177307,5888593232.253789,2682736250.5096173,1012.0487129841238,2665274048.526891,2541.1243435743695,1116.7894549547207,2150.9750287754296,5465895.008041824,2.275383540111773,,,,,,,,,,
2000.4571999999998,0.833417314682438,0.2784308725360891,68.013716,20004572.0,23011872056.961636,10590804242.606548,2591.660787972229,5925534140.057157,2727121546.429859,1012.0470114616271,2665283634.268927,2549.342123946411,1125.761773797786,2151.8475459083556,5485795.59309488,2.2645484891054175,,,,,,,,,,
2000.6095999999998,0.8285308484146257,0.27918414293544586,68.01828799999998,20006096.0,23075693711.919044,10703345679.954163,2592.0028406109764,5907811869.029788,2740257928.3543124,1012.0453098227622,2665293217.3453827,2550.655506937774,1128.717433522774,2150.9037515034656,5486214.498665432,2.2597821484665763,,,,,,,,,,
2000.7619999999997,0.8270655081281817,0.28104119494413965,68.02286,20007620.0,23094854849.168106,10737130882.645977,2592.1054144310274,5828864076.155275,2709922919.696847,1012.0436080675325,2665302797.756396,2542.9449941852804,1123.1997238471808,2148.042956285035,5462355.082979981,2.264018535790938,,,,,,,,,,
2000.9143999999997,0.8302912681111972,0.28347365902593175,68.02743199999999,20009143.999999996,23052687776.651142,10662779450.215488,2591.879611232216,5709498695.709929,2640868863.252867,1012.0419061959411,2665312375.5020957,2527.6293232550997,1109.8320344605575,2144.037236318453,5419331.3886693455,2.277488164669597,,,,,,,,,,
2001.0667999999996,0.8382388549953049,0.28566993752774866,68.032004,20010668.0,22949010822.752502,10479940076.370022,2591.3232801503286,5586985744.571644,2551363815.323773,1012.0402042079912,2665321950.5826216,2508.8521548190947,1091.8477972941357,2140.16958250725,5369369.068751597,2.297803925635643,,,,,,,,,,
2001.2191999999995,0.8496837988598143,0.28686516768812614,68.03657599999998,20012191.999999996,22800239242.869583,10217489354.721252,2590.522134079813,5498764423.772563,2464165676.7521257,1012.0385021036866,2665331522.9981103,2491.633492284456,1073.6445925491082,2137.710162300019,5326390.237183568,2.3207246695749455,,,,,,,,,,
2001.3715999999995,0.8625011241706311,0.286601663351528,68.04114799999999,20013715.999999996,22634358125.39821,9924718658.24454,2589.6249213080555,5470118546.954478,2398538863.1299434,1012.03679988303,2665341092.7486897,2480.1392119703646,1059.3068653627242,2137.4855416240307,5301261.706801471,2.341284941187579,,,,,,,,,,
2001.5239999999994,0.8742410526299523,0.2848975269432292,68.04571999999999,20015239.999999996,22483086246.417683,9657588168.25997,2588.8031263159032,5506825387.403462,2365451572.0471916,1012.0350975460251,2665350659.8345037,2476.4632386958315,1051.4585955541024,2139.5858143562145,5298605.615288249,2.3552646287424888,,,,,,,,,,
2001.6763999999994,0.8827017529615263,0.2822465789704213,68.05029199999998,20016763.999999996,22374456747.426132,9465665213.229477,2588.210877292693,5594626924.348891,2366844748.7511964,1012.0333950926749,2665360224.2556806,2480.3456171733615,1050.846624585642,2143.340175091526,5316224.409399851,2.360330764873878,,,,,,,,,,
2001.8287999999993,0.886523989398414,0.2794449758402965,68.05486399999998,20018287.999999993,22325487514.919632,9379120344.706408,2587.943320742111,5704324533.371197,2396433504.441763,1012.0316925229829,2665369786.0123587,2489.520093018169,1056.354682702503,2147.5627338679747,5346400.576981354,2.356708531503034,,,,,,,,,,
2001.9811999999993,0.8855904819005528,0.27730010990066983,68.05943599999998,20019811.999999996,22337441269.399963,9400248227.082453,2588.0086662669614,5801680862.42697,2441516894.588899,1012.029989836952,2665379345.1046696,2500.525659497874,1065.3951391803164,2150.9896060918077,5378604.70334579,2.347040612013403,,,,,,,,,,
2002.1335999999992,0.8810228596106281,0.2763145973155791,68.06400799999997,20021335.999999993,22395986889.656815,9503710569.755907,2588.3283998272564,5860589412.126955,2486934191.1766043,1012.028287034586,2665388901.5327525,2509.946276820183,1074.8131226133905,2152.7736689124476,5403346.255123323,2.335239702616665,,,,,,,,,,
2002.2859999999991,0.8747167492739418,0.2765103140051428,68.06857999999998,20022859.999999993,22476970041.64996,9646784438.414772,2588.769827550824,5873057654.545802,2520629830.568848,1012.0265841158878,2665398455.2967386,2515.6477810036617,1082.0673711796705,2152.7840582031426,5415646.438998793,2.3248531912214494,,,,,,,,,,
2002.438399999999,0.8686207056210249,0.27745304183773395,68.07315199999996,20024383.99999999,22555427080.67638,9785352898.777418,2589.1965506065285,5851482772.742896,2538583007.433295,1012.0248810808607,2665408006.396766,2517.549647571627,1086.2114191446665,2151.6054733963347,5416773.601262125,2.3177344697352407,,,,,,,,,,
2002.590799999999,0.8640614776370047,0.2784537568834221,68.07772399999998,20025907.999999993,22614216153.26184,9889158360.256905,2589.5156965654096,5822119801.254025,2546003112.236276,1012.0231779295084,2665417554.832968,2517.5170344582116,1088.13876468897,2150.256978295751,5413308.571322194,2.3135992542070776,,,,,,,,,,
2002.743199999999,0.8614758959459616,0.2788526607165574,68.08229599999997,20027431.99999999,22647598497.61483,9948092965.367945,2589.696687283783,5812951385.097654,2553373629.8003545,1012.0214746618336,2665427100.6054792,2518.2874328364715,1089.8391932568431,2149.757756497592,5413707.941830613,2.310696337971564,,,,,,,,,,
2002.895599999999,0.8605889113183556,0.2782766310830985,68.08686799999998,20028955.99999999,22659057433.658684,9968321512.073402,2589.7587762077155,5841564316.620839,2569859377.956022,1012.0197712778396,2665436643.714435,2521.9739984531875,1093.1094871238442,2150.7108811874295,5424036.92054504,2.307155896239568,,,,,,,,,,
2003.0479999999989,0.8608570967376703,0.27678625757664865,68.09143999999996,20030479.99999999,22655592368.02508,9962204687.756048,2589.740003228363,5907344263.628818,2597600263.958221,1012.0180677775303,2665446184.1599665,2528.856293249386,1098.3968488397263,2153.0482532183405,5444749.624820798,2.3023156848280313,,,,,,,,,,
