PHIE_core,VP_core,VS_core,RHO_core,AI_core,VPVS_core
0.2823160674589939,3430.513978974167,2035.222853700043,2172.185883638092,7451714.038750828,1.6855716673667847
0.35503416942436394,2808.821805740439,1562.247972475582,2056.5269897181165,5776417.852813989,1.797935958457031
0.339041412899322,2913.974383701414,1620.029438059869,2092.9641385531754,6098843.88574965,1.798716933928781
0.24189700203034625,3827.2041743773584,2316.432203024943,2255.780242330411,8633331.55992492,1.652197793390868
0.23566830209795586,3839.731189539946,2389.503588496696,2256.9138484334153,8665942.495934416,1.606915849812818
0.35150658085892,2842.9503469188085,1539.199490700631,2067.461454403121,5877690.259036617,1.8470317617014806
0.2,4243.923273364253,2603.0354517045507,2327.3572474837797,9877125.58802938,1.6303747498272436
0.33811506843579076,2900.6105810374793,1604.7841566422771,2098.427165926831,6086720.041023856,1.807477079725467
0.35620328065600126,2783.2700712163396,1508.3382491639843,2049.5536960650566,5704461.461608702,1.8452559117684662
0.274537875407887,3472.278489680564,2082.622843651726,2194.746989463287,7620772.761804545,1.667262269913538
0.2541555763681302,3686.26581843993,2295.919049649855,2229.56791444239,8218779.992899384,1.605573079330525
0.2607292885867373,3555.979774235703,2226.6800966831565,2204.318842464342,7838513.219769858,1.5969872724567216
0.2388733205848228,3782.0537513835843,2350.0132433097087,2257.582174793673,8538297.133235121,1.6093755055001393
0.2787733116638665,3448.3445830843343,2097.546293846446,2177.601522377338,7509120.413806093,1.643989738486685
0.2921442563314254,3383.3893443501356,1961.4659398107922,2179.6593293231367,7374636.149145264,1.7249289297761172
0.3003949046644694,3320.449386084534,1954.2344311519353,2156.0289053188403,7158984.855046454,1.6991049452174862
0.3644893811011784,2651.4234212678034,1448.4116271256294,2049.902360370065,5435159.129597343,1.8305731406820789
0.34359282822299964,2848.4271283565604,1618.6844215996257,2075.5641375870773,5912093.196147019,1.7597173916961968
0.32829814236030774,3045.5180195086577,1668.933652246079,2106.442846798041,6415209.646988549,1.8248286955026334
0.35944709044519746,2665.294912163637,1495.1593711904072,2032.3871972411914,5416911.256353462,1.7826159294588095
0.24906815793866702,3698.749056455165,2205.3526278792747,2222.220558037788,8219436.192277539,1.67716899769085
0.23027041440277102,3885.5103185712037,2314.5151247490858,2273.0634187521446,8832011.368328195,1.6787577998620458
0.30255948403985894,3306.171825132303,1887.9937200648667,2122.5428184912294,7017491.2641326105,1.7511561558683106
0.23191455998915808,3916.7921004295695,2356.8331333353917,2276.946637752871,8918326.603850113,1.6618877446306617
0.21556956672426386,4000.141039708427,2517.7332956237847,2268.133740654836,9072854.8595408,1.5887866465686813
0.278288520823584,3443.734322404738,2164.810895055692,2199.603430920205,7574849.830739129,1.5907783586409492
